,barcode,url_openfoodfact,product_name,brands,brands_tags,categories,categories_tags,countries,ingredients_text,allergens_tags,serving_size,serving_quantity,additives_n,additives_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_2,states,brand_owner,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,nutriscore,additifs_Sans,ingredients_from_palm_oil_n_1,ingredients_from_palm_oil_n_2,ingredients_that_may_be_from_palm_oil_n_1,ingredients_that_may_be_from_palm_oil_n_2,pnns_groups_1_Fruits and vegetables,pnns_groups_1_Salty snacks,pnns_groups_1_unknown
84,'7622210610645,https://world-fr.openfoodfacts.org/produit/7622210610645,Chips souffles,Belin,belin,,,France,Farine de pomme de terre 56 % (contient sulfites)  amidon de mais  huile de tournesol  farine de bl?  lactose (de lait)  sucre  fibres d'avoine  huile de colza  poudre ? lever (phosphate monocalcique carbonate acide de sodium)  ?mulsifiant (l?cithine de soja)  ar?me naturel  sel de mer 0 84 %  prot?ines de lait  correcteur d'acidit? (acide citrique).,en:gluten en:milk en:soybeans en:sulphur-dioxide-and-sulphites,100g,100,0.8459087285190557,en:e322 en:e322i en:e330 en:e341 en:e341i,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:origins-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-completed  en:product-name-completed  en:photos-to-be-validated  en:packaging-photo-to-be-selected  en:nutrition-photo-selected  en:ingredients-photo-selected  en:front-photo-selected  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/762/221/061/0645/front_fr.70.400.jpg,https://images.openfoodfacts.org/images/products/762/221/061/0645/front_fr.70.200.jpg,https://images.openfoodfacts.org/images/products/762/221/061/0645/front_fr.70.400.jpg,https://images.openfoodfacts.org/images/products/762/221/061/0645/front_fr.70.200.jpg,https://images.openfoodfacts.org/images/products/762/221/061/0645/ingredients_fr.24.400.jpg,https://images.openfoodfacts.org/images/products/762/221/061/0645/ingredients_fr.24.200.jpg,https://images.openfoodfacts.org/images/products/762/221/061/0645/nutrition_fr.72.400.jpg,446,0.40014699937985826,-0.1906890380550244,1 7,,,67.0,-0.044624509312362504,6 2,-0.06472147213572116,-0.39347743384381095,-0.05999754691495414,,,,,,False,0,0,0,0,0,0,1,0
416,'4018077695032,https://world-fr.openfoodfacts.org/produit/4018077695032,Lorenz Barbecue Potato Chips 100G.,Lorenz,lorenz,,,France  en:morocco,Pomme de terre  huile de tournesol  sel  fructose  sucre  poudre d'oignons  poudre de tomate  poudre de paprika piquant  poudra d'ail  ar?mes naturels  ar?me naturel de fum?  extrait de levure. colorant  /  extrait de paprika. Peut contenir du et du,,,,-0.2066529411438092,en:e160c,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:origins-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-validated  en:packaging-photo-to-be-selected  en:nutrition-photo-to-be-selected  en:ingredients-photo-selected  en:front-photo-selected  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/401/807/769/5032/front_fr.6.400.jpg,https://images.openfoodfacts.org/images/products/401/807/769/5032/front_fr.6.200.jpg,https://images.openfoodfacts.org/images/products/401/807/769/5032/front_fr.6.400.jpg,https://images.openfoodfacts.org/images/products/401/807/769/5032/front_fr.6.200.jpg,https://images.openfoodfacts.org/images/products/401/807/769/5032/ingredients_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/401/807/769/5032/ingredients_fr.4.200.jpg,,535,0.8290804413091385,0.26083588719328854,2 5,,,52.0,-0.04462458041438146,3 6,-0.06472147213572116,-0.38944008107636524,-0.053741191106806786,,,,,,False,0,0,0,0,0,0,1,0
467,'8410564003553,https://world-fr.openfoodfacts.org/produit/8410564003553,Patatas fritas ligeras sabor a tomate y oregano bolsa 125 g,Frit Ravich,frit-ravich,Alimentos y bebidas de origen vegetal  Alimentos de origen vegetal  Botanas  Cereales y patatas  Snacks salados,en:plant-based-foods-and-beverages en:plant-based-foods en:snacks en:cereals-and-potatoes en:salty-snacks,Espaï¿½a,Harina de patata  f?cula de patata  aceite de girasol  aroma de tomate y or?gano ISuero de leche en polvo  sal  azï¿½car  dextrosa  tomate en polvo  mantequilla en polvo  extracto de levadura  ajo en polvo  especias (or?gano y albahaca)  corrector de acidez (E270) cebolla en polvo  colorante (E-160c)  aroma naturally sal. Puede contener gluten y soja.,en:milk,30g,30,0.3196278936876233,en:e160c en:e270,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:origins-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-completed  en:quantity-completed  en:product-name-completed  en:photos-to-be-validated  en:packaging-photo-to-be-selected  en:nutrition-photo-selected  en:ingredients-photo-selected  en:front-photo-selected  en:photos-uploaded,,en:salty-snacks,https://images.openfoodfacts.org/images/products/841/056/400/3553/front_es.10.400.jpg,https://images.openfoodfacts.org/images/products/841/056/400/3553/front_es.10.200.jpg,https://images.openfoodfacts.org/images/products/841/056/400/3553/front_es.10.400.jpg,https://images.openfoodfacts.org/images/products/841/056/400/3553/front_es.10.200.jpg,https://images.openfoodfacts.org/images/products/841/056/400/3553/ingredients_es.13.400.jpg,https://images.openfoodfacts.org/images/products/841/056/400/3553/ingredients_es.13.200.jpg,https://images.openfoodfacts.org/images/products/841/056/400/3553/nutrition_es.18.400.jpg,,,-0.1641287483345354,,,,65.0,-0.04462457886868539,4 5,-0.1696128081642348,-0.3758598944949569,-0.03269708520667479,,,,,,False,0,0,0,0,0,0,0,1
681,'7613312042540,https://world-fr.openfoodfacts.org/produit/7613312042540,Farm Chips Rosmarin,Farm Chips,farm-chips,,,Frankreich  Schweiz,Chips de pommes de terre assaisonn?es au romarin Fritesdans de l'huile de tournesol ?zlngr?dients: pommes de terre  huile de tournesol  condiment en poudre (dextrose  sel de cuisine  extrait de levure  maltodextrine  acidifiant: acide citrique  ?pices  ar?me naturel  romarin 1%  huile de tournesol) ,,30 g,30,-0.2066529411438092,en:e330,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:origins-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-completed  en:product-name-completed  en:photos-to-be-validated  en:packaging-photo-to-be-selected  en:nutrition-photo-to-be-selected  en:ingredients-photo-selected  en:front-photo-selected  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/761/331/204/2540/front_fr.23.400.jpg,https://images.openfoodfacts.org/images/products/761/331/204/2540/front_fr.23.200.jpg,https://images.openfoodfacts.org/images/products/761/331/204/2540/front_fr.23.400.jpg,https://images.openfoodfacts.org/images/products/761/331/204/2540/front_fr.23.200.jpg,https://images.openfoodfacts.org/images/products/761/331/204/2540/ingredients_fr.14.400.jpg,https://images.openfoodfacts.org/images/products/761/331/204/2540/ingredients_fr.14.200.jpg,,516,0.7310714559220718,0.18115501803182157,2,,,53.0,-0.044624543317675916,5,-0.03611474412794475,-0.3978818186810245,-0.06682266234202397,,,,,,False,0,0,0,0,0,0,1,0
703,'20940294,https://world-fr.openfoodfacts.org/produit/20940294,Potato Chips Proveneale,Crusti Croc,crusti-croc,,,en:Switzerland,61% pommes de terre  huile de tournesol  9% condiment en poudre (maltodextrine  sel de cuisine  dextrose  sucre  tomate en poudre  5% herbes  3% romarin  extrait de levure  ar?me naturel  acidifiant: acide citrique /  ail  antioxydant: extraits de romarin). Frites dans de l'huile de tournesol.,,100g,100,0.3196278936876233,en:e330 en:e392,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-completed  en:quantity-completed  en:product-name-completed  en:photos-validated  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/20940294/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/20940294/front_fr.4.200.jpg,https://images.openfoodfacts.org/images/products/20940294/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/20940294/front_fr.4.200.jpg,https://images.openfoodfacts.org/images/products/20940294/ingredients_fr.7.400.jpg,https://images.openfoodfacts.org/images/products/20940294/ingredients_fr.7.200.jpg,https://images.openfoodfacts.org/images/products/20940294/nutrition_fr.10.400.jpg,514,0.7287653621482585,0.18115501803182157,0,,,52.0,-0.044624620602479126,,-0.03611474412794475,-0.3978818186810245,-0.06682266234202397,,,,,,False,0,0,0,0,0,0,1,0
718,'5997312700672,https://world-fr.openfoodfacts.org/produit/5997312700672,sour cream & onion chips,chio,chio,,,en:Senegal,Chips croustillantes de Pommes de terre  go?t cr?me et  d'oignons. Pomme de terre  huilev?g?tale  Sel  Oignon en poudre  Sucre  lait ?cr?m? en poudre  cr?me acidul?e en poudre  Arome  petit lait en poudre doux  extrait de levure  persil  poudre d'ail  acides : acide lactique et acide malique  extrais d'?pice  moutarde. A pr?server de la chaleur,en:milk en:mustard,30g,30,0.3196278936876233,en:e270 en:e296,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-completed  en:product-name-completed  en:photos-validated  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/599/731/270/0672/front_fr.10.400.jpg,https://images.openfoodfacts.org/images/products/599/731/270/0672/front_fr.10.200.jpg,https://images.openfoodfacts.org/images/products/599/731/270/0672/front_fr.10.400.jpg,https://images.openfoodfacts.org/images/products/599/731/270/0672/front_fr.10.200.jpg,https://images.openfoodfacts.org/images/products/599/731/270/0672/ingredients_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/599/731/270/0672/ingredients_fr.4.200.jpg,https://images.openfoodfacts.org/images/products/599/731/270/0672/nutrition_fr.7.400.jpg,543,0.8556005197079919,0.3139564666342666,16,,,48.0,-0.044624583505773585,,-0.055185896133129055,-0.3964136904019533,-0.06454762386633402,,,,,,False,0,0,0,0,0,0,1,0
760,'3596710355891,https://world-fr.openfoodfacts.org/produit/3596710355891,Chips bolognaise huile de tournesol,Auchan,auchan,,,France,Pommes de terre (origine France)  huile de tournesol 34%  base aromatisante bolognaise [sucre  oignon en poudre  ar?mes et ar?me de fum?e (contient gluten  c?leri)  tomate en Poudre  herbes aromatiques (origan  persil  thym)  levure en poudre  ail en poudre  colorant : extrait de paprika  /  poivre noir]  sel. Traces ?ventuelles de moutarde  lait.,en:celery en:gluten,,,-0.2066529411438092,en:e160c,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-validated  en:photos-uploaded,,,,,,,https://images.openfoodfacts.org/images/products/359/671/035/5891/ingredients_fr.7.400.jpg,https://images.openfoodfacts.org/images/products/359/671/035/5891/ingredients_fr.7.200.jpg,https://images.openfoodfacts.org/images/products/359/671/035/5891/nutrition_fr.4.400.jpg,542,0.8636718479163386,0.28739617691377756,3 1,,,50.0,-0.04462458968855784,,0.00202755988242386,-0.3949455621228822,-0.06227258539064407,,,,,,False,0,0,0,0,0,0,1,0
770,'5017764112134,https://world-fr.openfoodfacts.org/produit/5017764112134,o Mature Cheddar & Red Onion British Potato Chips,Kettle,kettle,,,France,select potatoes  sunflower oil  mature cheddar and red onion seasoning (dried buttermilk  dried mature cheddar cheese ( milk )  dried onion  dried red onion  sea salt  dried yeast extract  dried yeast  dried chives  colour: paprika extract).,en:milk,,,-0.2066529411438092,en:e160c,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:origins-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-validated  en:packaging-photo-to-be-selected  en:nutrition-photo-selected  en:ingredients-photo-selected  en:front-photo-selected  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/501/776/411/2134/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/501/776/411/2134/front_en.14.200.jpg,https://images.openfoodfacts.org/images/products/501/776/411/2134/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/501/776/411/2134/front_en.14.200.jpg,https://images.openfoodfacts.org/images/products/501/776/411/2134/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/501/776/411/2134/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/501/776/411/2134/nutrition_en.16.400.jpg,513,0.7230001277137251,0.15459472831133256,3 3,,,52.0,-0.0446246005084303,6 2,0.145061199921306,-0.3978818186810245,-0.06682266234202397,,,,,,False,0,0,0,0,0,0,1,0
787,'7613312014370,https://world-fr.openfoodfacts.org/produit/7613312014370,Farm Chips Herbes Suisses,Migros,migros,,,Suisse,Pommes de terre  huile de tournesol  condiment en poudre (sel de cuisine  ?pices  extraits d'?pices  extrait de levure  acidifiant: acide citrique  thym citron 1.2%  essence de citron).,,30 g,30,-0.2066529411438092,en:e330,,,,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-completed  en:product-name-completed  en:photos-to-be-validated  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/761/331/201/4370/front_fr.13.400.jpg,https://images.openfoodfacts.org/images/products/761/331/201/4370/front_fr.13.200.jpg,https://images.openfoodfacts.org/images/products/761/331/201/4370/front_fr.13.400.jpg,https://images.openfoodfacts.org/images/products/761/331/201/4370/front_fr.13.200.jpg,,,,499,0.6561234082731384,0.12803443859084357,2,,,53.0,-0.044624527860715274,6,-0.03611474412794475,-0.3964136904019533,-0.06454762386633402,,,,,,False,0,0,0,0,0,0,1,0
788,'7616800816326,https://world-fr.openfoodfacts.org/produit/7616800816326,Chips Paprica,Migros Bio,migros-bio,,,France  Suisse,Pommes de terre  huile de tournesol  pr?paration d'?pices (sel marin  sucre de canne brut  paprika 21%  oignons  f?cule de pomme de terre  extrait de levure  ail  extrait de paprika).,,30 g,30,-0.2066529411438092,en:e160c,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-validated  en:packaging-photo-to-be-selected  en:nutrition-photo-to-be-selected  en:ingredients-photo-selected  en:front-photo-selected  en:photos-uploaded,,,https://images.openfoodfacts.org/images/products/761/680/081/6326/front_fr.12.400.jpg,https://images.openfoodfacts.org/images/products/761/680/081/6326/front_fr.12.200.jpg,https://images.openfoodfacts.org/images/products/761/680/081/6326/front_fr.12.400.jpg,https://images.openfoodfacts.org/images/products/761/680/081/6326/front_fr.12.200.jpg,https://images.openfoodfacts.org/images/products/761/680/081/6326/ingredients_fr.15.400.jpg,https://images.openfoodfacts.org/images/products/761/680/081/6326/ingredients_fr.15.200.jpg,,,0.8463761446127386,0.23427559747279955,2 5,,,55.0,-0.04462458968855784,4,-0.03611474412794475,-0.3978818186810245,-0.06682266234202397,,,,,,False,0,0,0,0,0,0,1,0
