barcode,product_name,brands,pnns_groups_1,nutriscore_grade,additives_n,fat_100g,proteins_100g,salt_100g,sodium_100g,sugars_100g,energy_100g,carbohydrates_100g,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,url_openfoodfact,pred_log_reg,pred_tree,pred_rand_for,pred_ada_boost,pred_grad_boost,pred_xg_boost,pred_log_reg_descr,pred_tree_descr,pred_rand_for_descr,pred_ada_boost_descr,pred_grad_boost_descr,pred_xg_boost_descr,nutri_descr
'5053990156009,Chips Pringles Original,Pringles,Salty snacks,C,2,33.0,4.3,1.1,0.44,1.2,2252.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990156009,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990138722,Pringles Original,Pringles,Composite foods,C,2,9.9,1.3,0.33,0.132,0.4,2253.0,17.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990138722,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990155354,Chips Pringles Sour Cream & Onion,Pringles,Composite foods,D,8,32.0,4.6,1.4,0.56,2.4,2237.0,56.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990155354,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990119004,Tuiles Pringles Original,Pringles,Salty snacks,C,2,33.0,4.3,1.1,0.44,1.2,2252.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990119004,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3168930007432,Chips barbecue,Lay's  Lays,Salty snacks,C,4,32.0,6.4,1.3,0.52,2.8,2221.0,52.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930007432,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990119035,Sour Cream & Onion,Pringles,Salty snacks,D,1,32.0,4.2,1.7,0.68,2.5,2146.0,51.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990119035,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3497917000907,Chips au fromage du Jura,Bret's Brets ????,Salty snacks,C,1,31.0,6.0,1.6,0.64,1.0,2190.0,53.0,0,0,https://world-fr.openfoodfacts.org/produit/3497917000907,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990138753,Sour Cream & Onion,Pringles,Composite foods,D,7,32.0,4.6,1.4,0.56,2.4,2237.0,56.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990138753,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3162088707022,Crousti pom,Vico,Fruits and vegetables,C,2,2.3,1.9,0.34,0.136,75.0,1488.0,75.0,0,0,https://world-fr.openfoodfacts.org/produit/3162088707022,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3168930010425,Tuiles ondulees aux cereales goet sel de mer,Sunbreaks,Salty snacks,C,1,22.0,7.5,0.94,0.376,7.3,2011.0,61.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930010425,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3599741003380,Colin d'Alaska MSC faeon Fish & Chips,Findus,Composite foods,B,2,10.0,11.0,0.77,0.308,0.5,900.0,20.0,0,0,https://world-fr.openfoodfacts.org/produit/3599741003380,,,,,,,,,,,,,Bonne qualité nutritionnelle
'3456300004311,Chips lentilles,Jardin Bio ?tic L?a Nature,Composite foods,B,2,7.2,12.0,1.2,0.48,0.8,1687.0,69.0,0,0,https://world-fr.openfoodfacts.org/produit/3456300004311,,,,,,,,,,,,,Bonne qualité nutritionnelle
'8410076481757,Tortilla chips,Old El Paso General Mills,Salty snacks,B,3,26.2,6.3,0.41,0.164,1.5,2083.0,56.8,0,0,https://world-fr.openfoodfacts.org/produit/8410076481757,,,,,,,,,,,,,Bonne qualité nutritionnelle
'5053990127726,Pringles Original,Pringles,Composite foods,C,1,31.0,5.9,1.1,0.44,1.2,2253.0,56.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990127726,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990119189,Tuiles Pringles Barbecue,Pringles,Salty snacks,D,8,31.0,4.2,1.7,0.68,4.6,2106.0,52.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990119189,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
